x,y,z,value
-12.9037,-38.7111,-38.7111,0
-15.7712,-35.8436,-38.7111,0
-12.9037,-35.8436,-38.7111,0
-15.7712,-38.7111,-35.8436,0
-12.9037,-38.7111,-35.8436,0
-15.7712,-35.8436,-35.8436,0
-12.9037,-35.8436,-35.8436,0
-10.0362,-44.4461,-44.4461,0
-7.16872,-44.4461,-44.4461,0
-10.0362,-41.5786,-44.4461,0
-7.16872,-41.5786,-44.4461,0
-10.0362,-44.4461,-41.5786,0
-7.16872,-44.4461,-41.5786,0
-10.0362,-41.5786,-41.5786,0
-7.16872,-41.5786,-41.5786,0
-4.30123,-44.4461,-44.4461,0
-1.43374,-44.4461,-44.4461,0
-4.30123,-41.5786,-44.4461,0
-1.43374,-41.5786,-44.4461,0
-4.30123,-44.4461,-41.5786,0
-1.43374,-44.4461,-41.5786,0
-4.30123,-41.5786,-41.5786,0
-1.43374,-41.5786,-41.5786,0
-10.0362,-38.7111,-44.4461,0
-7.16872,-38.7111,-44.4461,0
-10.0362,-35.8436,-44.4461,0
-7.16872,-35.8436,-44.4461,0
-10.0362,-38.7111,-41.5786,0
-7.16872,-38.7111,-41.5786,0
-10.0362,-35.8436,-41.5786,0
-7.16872,-35.8436,-41.5786,0
-4.30123,-38.7111,-44.4461,0
-1.43374,-38.7111,-44.4461,0
-4.30123,-35.8436,-44.4461,0
-1.43374,-35.8436,-44.4461,0
-4.30123,-38.7111,-41.5786,0
-1.43374,-38.7111,-41.5786,0
-4.30123,-35.8436,-41.5786,0
-1.43374,-35.8436,-41.5786,0
-10.0362,-44.4461,-38.7111,0
-7.16872,-44.4461,-38.7111,0
-10.0362,-41.5786,-38.7111,0
-7.16872,-41.5786,-38.7111,0
-10.0362,-44.4461,-35.8436,0
-7.16872,-44.4461,-35.8436,0
-10.0362,-41.5786,-35.8436,0
-7.16872,-41.5786,-35.8436,0
-4.30123,-44.4461,-38.7111,0
-1.43374,-44.4461,-38.7111,0
-4.30123,-41.5786,-38.7111,0
-1.43374,-41.5786,-38.7111,0
-4.30123,-44.4461,-35.8436,0
-1.43374,-44.4461,-35.8436,0
-4.30123,-41.5786,-35.8436,0
-1.43374,-41.5786,-35.8436,0
-10.0362,-38.7111,-38.7111,0
-7.16872,-38.7111,-38.7111,0
-10.0362,-35.8436,-38.7111,0
-7.16872,-35.8436,-38.7111,0
-10.0362,-38.7111,-35.8436,0
-7.16872,-38.7111,-35.8436,0
-10.0362,-35.8436,-35.8436,0
-7.16872,-35.8436,-35.8436,0
-4.30123,-38.7111,-38.7111,0
-1.43374,-38.7111,-38.7111,0
-4.30123,-35.8436,-38.7111,0
-1.43374,-35.8436,-38.7111,0
-4.30123,-38.7111,-35.8436,0
-1.43374,-38.7111,-35.8436,0
-4.30123,-35.8436,-35.8436,0
-1.43374,-35.8436,-35.8436,0
-21.5062,-32.9761,-44.4461,0
-18.6387,-32.9761,-44.4461,0
-21.5062,-30.1086,-44.4461,0
-18.6387,-30.1086,-44.4461,0
-21.5062,-32.9761,-41.5786,0
-18.6387,-32.9761,-41.5786,0
-21.5062,-30.1086,-41.5786,0
-18.6387,-30.1086,-41.5786,0
-15.7712,-32.9761,-44.4461,0
-12.9037,-32.9761,-44.4461,0
-15.7712,-30.1086,-44.4461,0
-12.9037,-30.1086,-44.4461,0
-15.7712,-32.9761,-41.5786,0
-12.9037,-32.9761,-41.5786,0
-15.7712,-30.1086,-41.5786,0
-12.9037,-30.1086,-41.5786,0
-21.5062,-27.2412,-44.4461,0
-18.6387,-27.2412,-44.4461,0
-21.5062,-24.3737,-44.4461,0
-18.6387,-24.3737,-44.4461,0
-21.5062,-27.2412,-41.5786,0
-18.6387,-27.2412,-41.5786,0
-21.5062,-24.3737,-41.5786,1
-18.6387,-24.3737,-41.5786,1
-15.7712,-27.2412,-44.4461,0
-12.9037,-27.2412,-44.4461,0
-15.7712,-24.3737,-44.4461,0
-12.9037,-24.3737,-44.4461,1
-15.7712,-27.2412,-41.5786,1
-12.9037,-27.2412,-41.5786,1
-15.7712,-24.3737,-41.5786,0.5
-12.9037,-24.3737,-41.5786,0.5
-21.5062,-32.9761,-38.7111,0
-18.6387,-32.9761,-38.7111,0
-21.5062,-30.1086,-38.7111,0
-18.6387,-30.1086,-38.7111,0
-21.5062,-32.9761,-35.8436,0
-18.6387,-32.9761,-35.8436,0
-21.5062,-30.1086,-35.8436,0
-18.6387,-30.1086,-35.8436,0
-15.7712,-32.9761,-38.7111,0
-12.9037,-32.9761,-38.7111,0
-15.7712,-30.1086,-38.7111,0
-12.9037,-30.1086,-38.7111,1
-15.7712,-32.9761,-35.8436,0
-12.9037,-32.9761,-35.8436,0
-15.7712,-30.1086,-35.8436,0
-12.9037,-30.1086,-35.8436,1
-21.5062,-27.2412,-38.7111,0
-18.6387,-27.2412,-38.7111,1
-21.5062,-24.3737,-38.7111,1
-18.6387,-24.3737,-38.7111,0.5
-21.5062,-27.2412,-35.8436,1
-18.6387,-27.2412,-35.8436,1
-21.5062,-24.3737,-35.8436,0.5
-18.6387,-24.3737,-35.8436,0.5
-15.7712,-27.2412,-38.7111,1
