model,method,n_seeds,samples_points,samples_viewpoints,samples_pairs,num_viewpoints_mean,num_viewpoints_std,coverage_auc_mean,coverage_auc_std,solution_time_mean,solution_time_std,exclusive_area_mean,exclusive_area_std,overlap_mean,overlap_std,cv_overlap_mean,cv_overlap_std,overlap_entropy_mean,overlap_entropy_std,gini_overlap_mean,gini_overlap_std
0042,Potential Field,1,5456,4,12,4.000000,0.000000,12.130658,0.000000,12.699900,0.000000,6.795271,0.000000,0.223298,0.000000,0.650141,0.000000,0.787213,0.000000,0.334983,0.000000
0044,Potential Field,1,5462,3,6,3.000000,0.000000,1.575495,0.000000,2.012524,0.000000,23.318687,0.000000,0.134721,0.000000,0.639259,0.000000,0.651181,0.000000,0.319630,0.000000
0046,Potential Field,1,5046,4,12,4.000000,0.000000,4.554854,0.000000,4.896422,0.000000,13.233254,0.000000,0.155595,0.000000,0.796318,0.000000,0.700205,0.000000,0.403959,0.000000
0050,Potential Field,1,5479,3,6,3.000000,0.000000,2.079051,0.000000,2.361642,0.000000,18.805135,0.000000,0.238934,0.000000,0.686227,0.000000,0.494770,0.000000,0.343113,0.000000
0051,Potential Field,1,5316,6,30,6.000000,0.000000,18.765859,0.000000,19.744157,0.000000,6.204540,0.000000,0.195154,0.000000,0.522493,0.000000,0.909238,0.000000,0.274953,0.000000
0052,Potential Field,1,5180,5,20,5.000000,0.000000,18.868763,0.000000,19.949413,0.000000,5.945946,0.000000,0.204541,0.000000,0.942286,0.000000,0.679767,0.000000,0.473295,0.000000
0062,Potential Field,1,5638,3,6,3.000000,0.000000,0.000000,0.000000,0.181408,0.000000,26.818021,0.000000,0.088326,0.000000,0.492739,0.000000,0.733894,0.000000,0.246369,0.000000
0066,Potential Field,1,5436,6,30,6.000000,0.000000,28.519805,0.000000,29.850668,0.000000,1.729213,0.000000,0.281523,0.000000,0.913369,0.000000,0.727698,0.000000,0.438253,0.000000
0067,Potential Field,1,5322,4,12,4.000000,0.000000,3.485935,0.000000,3.749625,0.000000,11.438369,0.000000,0.162020,0.000000,0.687618,0.000000,0.768261,0.000000,0.349497,0.000000
0071,Potential Field,1,5358,5,20,5.000000,0.000000,12.034981,0.000000,13.296411,0.000000,8.622620,0.000000,0.207411,0.000000,0.669265,0.000000,0.833633,0.000000,0.349278,0.000000
0073,Potential Field,1,5324,4,12,4.000000,0.000000,2.655273,0.000000,2.849583,0.000000,15.228212,0.000000,0.151256,0.000000,0.542373,0.000000,0.836812,0.000000,0.276613,0.000000
