model,is_named,method,#VP_m,#VP_s,Time_m,Time_s,Excl_m,Excl_s,CV_m,CV_s
0093,False,Greedy,26.000000,0.000000,49.152498,0.000000,0.014908,0.000000,0.902808,0.000000
0093,False,Genetic (RKGA),9.000000,0.000000,52.856457,0.000000,0.146742,0.000000,0.822428,0.000000
0093,False,SA,14.000000,0.000000,86.218416,0.000000,0.026652,0.000000,0.803243,0.000000
0093,False,Potential Field,8.000000,0.000000,49.518418,0.000000,1.344335,0.000000,0.987542,0.000000
0073,False,Greedy,3.000000,0.000000,11.714901,0.000000,19.016859,0.000000,0.639946,0.000000
0073,False,Genetic (RKGA),3.000000,0.000000,11.983978,0.000000,18.382813,0.000000,0.708887,0.000000
0073,False,SA,7.000000,0.000000,5.090585,0.000000,0.832282,0.000000,0.950259,0.000000
0073,False,Potential Field,4.000000,0.000000,2.849583,0.000000,15.228212,0.000000,0.542373,0.000000
0016,False,Greedy,7.000000,0.000000,12.138715,0.000000,0.337434,0.000000,0.717504,0.000000
0016,False,Genetic (RKGA),7.000000,0.000000,21.799590,0.000000,0.814536,0.000000,0.956307,0.000000
0016,False,SA,14.000000,0.000000,113.812532,0.000000,0.118639,0.000000,1.021054,0.000000
0016,False,Potential Field,6.000000,0.000000,24.940674,0.000000,7.116392,0.000000,0.464457,0.000000
0062,False,Greedy,5.000000,0.000000,10.403010,0.000000,1.657253,0.000000,1.015043,0.000000
0062,False,Genetic (RKGA),2.000000,0.000000,8.891706,0.000000,48.235816,0.000000,0.000000,0.000000
0062,False,SA,7.000000,0.000000,16.073873,0.000000,1.180344,0.000000,0.825728,0.000000
0062,False,Potential Field,3.000000,0.000000,0.181408,0.000000,26.818021,0.000000,0.492739,0.000000
0044,False,Greedy,8.000000,0.000000,7.298480,0.000000,2.360315,0.000000,0.590152,0.000000
0044,False,Genetic (RKGA),2.000000,0.000000,8.601290,0.000000,48.379418,0.000000,0.000000,0.000000
0044,False,SA,10.000000,0.000000,70.418273,0.000000,1.911388,0.000000,0.782581,0.000000
0044,False,Potential Field,3.000000,0.000000,2.012524,0.000000,23.318687,0.000000,0.639259,0.000000
0031,False,Greedy,7.000000,0.000000,5.770174,0.000000,0.334896,0.000000,0.587164,0.000000
0031,False,Genetic (RKGA),3.000000,0.000000,9.230162,0.000000,23.631841,0.000000,0.538069,0.000000
0031,False,SA,6.000000,0.000000,15.031556,0.000000,0.631813,0.000000,0.677937,0.000000
0031,False,Potential Field,3.000000,0.000000,0.150650,0.000000,26.672241,0.000000,0.231443,0.000000
0034,False,Greedy,12.000000,0.000000,28.695239,0.000000,0.091777,0.000000,0.930533,0.000000
0034,False,Genetic (RKGA),7.000000,0.000000,18.165521,0.000000,2.069902,0.000000,0.650911,0.000000
0034,False,SA,7.000000,0.000000,16.801786,0.000000,1.720594,0.000000,0.794321,0.000000
0034,False,Potential Field,5.000000,0.000000,8.313234,0.000000,11.947025,0.000000,0.767222,0.000000
0038,False,Greedy,12.000000,0.000000,22.897481,0.000000,0.052676,0.000000,0.912808,0.000000
0038,False,Genetic (RKGA),4.000000,0.000000,16.581802,0.000000,11.179043,0.000000,0.504634,0.000000
0038,False,SA,6.000000,0.000000,8.532709,0.000000,0.240728,0.000000,0.939287,0.000000
0038,False,Potential Field,4.000000,0.000000,5.764799,0.000000,13.227159,0.000000,0.568699,0.000000
0009,False,Greedy,10.000000,0.000000,9.384500,0.000000,0.113145,0.000000,0.828814,0.000000
0009,False,Genetic (RKGA),3.000000,0.000000,11.952658,0.000000,16.597848,0.000000,0.547280,0.000000
0009,False,SA,7.000000,0.000000,5.107630,0.000000,0.372764,0.000000,0.942794,0.000000
0009,False,Potential Field,4.000000,0.000000,3.313812,0.000000,11.819887,0.000000,0.640794,0.000000
0109,False,Greedy,9.000000,0.000000,17.218775,0.000000,0.097096,0.000000,0.760908,0.000000
0109,False,Genetic (RKGA),5.000000,0.000000,19.209424,0.000000,1.322284,0.000000,0.702726,0.000000
0109,False,SA,7.000000,0.000000,13.291026,0.000000,0.840336,0.000000,0.759554,0.000000
0109,False,Potential Field,5.000000,0.000000,15.114892,0.000000,8.250230,0.000000,0.525283,0.000000
0012,False,Greedy,9.000000,0.000000,10.597458,0.000000,0.183187,0.000000,0.778373,0.000000
0012,False,Genetic (RKGA),3.000000,0.000000,12.635636,0.000000,20.237881,0.000000,0.292677,0.000000
0012,False,SA,8.000000,0.000000,13.589376,0.000000,0.816447,0.000000,0.860586,0.000000
0012,False,Potential Field,4.000000,0.000000,5.385921,0.000000,15.200325,0.000000,0.464855,0.000000
0003,False,Greedy,8.000000,0.000000,22.068224,0.000000,0.386588,0.000000,0.690723,0.000000
0003,False,Genetic (RKGA),4.000000,0.000000,14.609751,0.000000,8.557514,0.000000,1.169286,0.000000
0003,False,SA,7.000000,0.000000,11.625151,0.000000,2.041194,0.000000,0.928257,0.000000
0003,False,Potential Field,5.000000,0.000000,16.650217,3.333386,8.753951,2.108942,0.615690,0.078293
0084,False,Greedy,7.000000,0.000000,12.725694,0.000000,1.459646,0.000000,0.973425,0.000000
0084,False,Genetic (RKGA),5.000000,0.000000,21.349180,0.000000,1.724891,0.000000,0.770351,0.000000
0084,False,SA,10.000000,0.000000,47.445525,0.000000,0.409475,0.000000,0.857941,0.000000
0084,False,Potential Field,6.000000,0.000000,30.696008,0.000000,2.440801,0.000000,0.777422,0.000000
0017,False,Greedy,5.000000,0.000000,4.811948,0.000000,2.000000,0.000000,0.712062,0.000000
0017,False,Genetic (RKGA),8.000000,0.000000,24.894761,0.000000,0.601660,0.000000,0.587389,0.000000
0017,False,SA,7.000000,0.000000,4.695466,0.000000,0.739426,0.000000,0.812737,0.000000
0017,False,Potential Field,8.000000,0.000000,39.746767,0.000000,3.438222,0.000000,0.629030,0.000000
0052,False,Greedy,5.000000,0.000000,15.813884,0.000000,7.530225,0.000000,0.705322,0.000000
0052,False,Genetic (RKGA),6.000000,0.000000,22.435452,0.000000,1.652202,0.000000,0.863650,0.000000
0052,False,SA,11.000000,0.000000,43.335340,0.000000,0.237717,0.000000,0.891452,0.000000
0052,False,Potential Field,5.000000,0.000000,19.949413,0.000000,5.945946,0.000000,0.942286,0.000000
0088,False,Greedy,9.000000,0.000000,13.131119,0.000000,0.187009,0.000000,0.730157,0.000000
0088,False,Genetic (RKGA),3.000000,0.000000,11.238008,0.000000,20.838998,0.000000,0.402942,0.000000
0088,False,SA,7.000000,0.000000,33.885477,0.000000,2.162567,0.000000,0.867649,0.000000
0088,False,Potential Field,4.000000,0.000000,3.553243,0.000000,14.324746,0.000000,0.434738,0.000000
0106,False,Greedy,11.000000,0.000000,15.874665,0.000000,0.234503,0.000000,1.009787,0.000000
0106,False,Genetic (RKGA),5.000000,0.000000,16.426783,0.000000,4.206025,0.000000,1.137250,0.000000
