model,method,#VP_m,#VP_s,Time_m,Time_s,Excl_m,Excl_s,CV_m,CV_s,Ovl_m,Ovl_s,_is_key,method_ord,_key_sort
0031,SA,6.0000,0.0000,15.0316,0.0000,0.6318,0.0000,0.6779,0.0000,,0.0000,False,2,1
0034,SA,7.0000,0.0000,16.8018,0.0000,1.7206,0.0000,0.7943,0.0000,,0.0000,False,2,1
0036,SA,10.0000,0.0000,41.8399,0.0000,0.2512,0.0000,0.8347,0.0000,,0.0000,False,2,1
0038,SA,6.0000,0.0000,8.5327,0.0000,0.2407,0.0000,0.9393,0.0000,,0.0000,False,2,1
0041,SA,6.0000,0.0000,21.7428,0.0000,1.5344,0.0000,0.8639,0.0000,,0.0000,False,2,1
0042,SA,8.0000,0.0000,17.5643,0.0000,0.1692,0.0000,0.9181,0.0000,,0.0000,False,2,1
0043,SA,8.0000,0.0000,18.3526,0.0000,0.4959,0.0000,0.6370,0.0000,,0.0000,False,2,1
0044,SA,10.0000,0.0000,70.4183,0.0000,1.9114,0.0000,0.7826,0.0000,,0.0000,False,2,1
0046,SA,7.0000,0.0000,19.5560,0.0000,0.4118,0.0000,1.0127,0.0000,,0.0000,False,2,1
0050,SA,6.0000,0.0000,15.5397,0.0000,4.7115,0.0000,0.8629,0.0000,,0.0000,False,2,1
0051,SA,14.0000,0.0000,22.9852,0.0000,0.1935,0.0000,0.8348,0.0000,,0.0000,False,2,1
0052,SA,11.0000,0.0000,43.3353,0.0000,0.2377,0.0000,0.8915,0.0000,,0.0000,False,2,1
0056,SA,7.0000,0.0000,11.2826,0.0000,0.6843,0.0000,0.6972,0.0000,,0.0000,False,2,1
0062,SA,7.0000,0.0000,16.0739,0.0000,1.1803,0.0000,0.8257,0.0000,,0.0000,False,2,1
0066,SA,7.0000,0.0000,12.2727,0.0000,0.1288,0.0000,0.8921,0.0000,,0.0000,False,2,1
0067,SA,7.0000,0.0000,13.2847,0.0000,0.6257,0.0000,0.8831,0.0000,,0.0000,False,2,1
0068,SA,8.0000,0.0000,16.2355,0.0000,0.5183,0.0000,1.0223,0.0000,,0.0000,False,2,1
0071,SA,9.0000,0.0000,36.7171,0.0000,0.3320,0.0000,0.8955,0.0000,,0.0000,False,2,1
0073,SA,7.0000,0.0000,5.0906,0.0000,0.8323,0.0000,0.9503,0.0000,,0.0000,False,2,1
0077,SA,7.0000,0.0000,17.0432,0.0000,0.5047,0.0000,1.0295,0.0000,,0.0000,False,2,1
0078,SA,15.0000,0.0000,35.4529,0.0000,0.1841,0.0000,0.7232,0.0000,,0.0000,False,2,1
0081,SA,8.0000,0.0000,20.3552,0.0000,0.1286,0.0000,0.7136,0.0000,,0.0000,False,2,1
0082,SA,9.0000,0.0000,16.7152,0.0000,0.6918,0.0000,0.7556,0.0000,,0.0000,False,2,1
0083,SA,8.0000,0.0000,39.8560,0.0000,0.5701,0.0000,0.9292,0.0000,,0.0000,False,2,1
0084,SA,10.0000,0.0000,47.4455,0.0000,0.4095,0.0000,0.8579,0.0000,,0.0000,False,2,1
0088,SA,7.0000,0.0000,33.8855,0.0000,2.1626,0.0000,0.8676,0.0000,,0.0000,False,2,1
0089,SA,14.0000,0.0000,138.3770,0.0000,0.1230,0.0000,1.1064,0.0000,,0.0000,False,2,1
0090,SA,13.0000,0.0000,69.3536,0.0000,0.1855,0.0000,0.9690,0.0000,,0.0000,False,2,1
0093,SA,14.0000,0.0000,86.2184,0.0000,0.0267,0.0000,0.8032,0.0000,,0.0000,False,2,1
0094,SA,8.0000,0.0000,19.3021,0.0000,0.3712,0.0000,0.7394,0.0000,,0.0000,False,2,1
0095,SA,6.0000,0.0000,19.3772,0.0000,2.8334,0.0000,0.9633,0.0000,,0.0000,False,2,1
0099,SA,6.0000,0.0000,14.2520,0.0000,0.7615,0.0000,0.9009,0.0000,,0.0000,False,2,1
0102,SA,9.0000,0.0000,6.7094,0.0000,0.4670,0.0000,1.0339,0.0000,,0.0000,False,2,1
0106,SA,15.0000,0.0000,72.6999,0.0000,0.0546,0.0000,1.1719,0.0000,,0.0000,False,2,1
0107,SA,7.0000,0.0000,16.6167,0.0000,0.7935,0.0000,0.8084,0.0000,,0.0000,False,2,1
0108,SA,10.0000,0.0000,38.5544,0.0000,0.2695,0.0000,0.8917,0.0000,,0.0000,False,2,1
0109,SA,7.0000,0.0000,13.2910,0.0000,0.8403,0.0000,0.7596,0.0000,,0.0000,False,2,1
0110,SA,6.0000,0.0000,14.4530,0.0000,2.6265,0.0000,0.8844,0.0000,,0.0000,False,2,1
bell,Potential Field,5.9000,0.5385,22.3853,9.1006,4.4891,1.4119,0.4721,0.0877,,0.0000,True,3,0
bracket,Potential Field,4.9000,0.3000,7.8670,4.3176,8.1852,2.3933,0.6678,0.1855,,0.0000,True,3,0
cat,Potential Field,6.1000,0.7000,15.9374,6.8635,3.7433,1.4619,0.5776,0.0643,,0.0000,True,3,0
goku,Potential Field,8.4000,0.6633,32.3000,8.4000,0.7867,0.3104,0.6631,0.0316,,0.0000,True,3,0
gorilla,Potential Field,5.5000,0.5000,11.3228,3.3246,5.5367,1.8105,0.5799,0.0612,,0.0000,True,3,0
mug,Potential Field,5.3000,0.4583,16.5849,6.5824,8.0294,1.5142,0.5303,0.0777,,0.0000,True,3,0
