seed,final_coverage,monte_carlo_coverage,num_viewpoints,computation_time,convergence_point,coverage_auc,efficiency,time_efficiency
267,0.9954,0.9784,10,0.4665987491607666,13,6.102499999999999,0.09953999999999999,2.133310476700474
268,0.9918,0.9689,12,0.5587358474731445,14,8.073699999999999,0.08265,1.775078517845896
269,0.9954,0.9771,12,0.5624868869781494,14,8.0447,0.08295,1.7696412539456545
27,0.9969,0.981,11,0.5269558429718018,14,6.99625,0.09062727272727272,1.8918093675134477
270,0.9965,0.9845,11,0.5212631225585938,14,7.04875,0.0905909090909091,1.9117024720811442
271,0.9915,0.9714,10,0.4632899761199951,13,6.10975,0.09915,2.1401283237416626
272,0.9956,0.9808,11,0.5201840400695801,14,7.011500000000001,0.09050909090909091,1.9139379975341575
273,0.9929,0.9688,11,0.5226387977600098,13,7.10745,0.09026363636363637,1.8997824200107112
274,0.9968,0.9809,11,0.5094149112701416,13,6.991199999999999,0.09061818181818182,1.9567546570528227
275,0.9951,0.9776,11,0.5326840877532959,14,7.11415,0.09046363636363636,1.868086588050786
276,0.9908,0.9626,10,0.47348499298095703,13,6.117299999999999,0.09908,2.0925689613986322
277,0.9948,0.9807,12,0.5894291400909424,14,7.8991999999999996,0.0829,1.6877346780759999
278,0.999,0.9911,12,0.5674788951873779,14,7.9695,0.08325,1.7604178912594388
279,0.9918,0.9721,10,0.48028087615966797,13,6.0854,0.09918,2.065041622998703
28,0.9993,0.9873,12,0.5666561126708984,14,8.04065,0.083275,1.7635034329548858
280,0.9919,0.965,11,0.5190105438232422,13,7.054950000000001,0.09017272727272728,1.9111365112031486
281,0.9952,0.9771,10,0.4765934944152832,13,6.1548,0.09952,2.0881527164381
282,0.9909,0.9733,11,0.5194506645202637,14,7.082350000000001,0.09008181818181818,1.9075921308429575
283,0.9904,0.9671,11,0.513695240020752,13,7.0957,0.09003636363636364,1.9279913903036952
284,0.9945,0.973,11,0.5420520305633545,13,7.054649999999999,0.09040909090909091,1.8346947228782013
285,0.9953,0.9809,11,0.526543378829956,13,7.104750000000001,0.09048181818181818,1.8902526173848746
286,0.9951,0.9788,11,0.5176348686218262,14,7.054650000000001,0.09046363636363636,1.9223975437539553
287,0.9974,0.9822,12,0.5665791034698486,14,8.0537,0.08311666666666666,1.7603896682594085
288,0.9927,0.9727,11,0.5258963108062744,14,7.084350000000001,0.09024545454545455,1.887634462538915
289,0.9922,0.9726,11,0.5280551910400391,13,7.1015,0.0902,1.8789702607520957
29,0.9955,0.978,11,0.5262775421142578,14,7.007750000000001,0.09050000000000001,1.8915874616285098
290,0.9937,0.9707,10,0.47347116470336914,13,6.1533500000000005,0.09937,2.098755054328505
291,0.9915,0.9715,11,0.5119271278381348,14,7.02265,0.09013636363636364,1.9367990990965818
292,0.9944,0.9795,12,0.5637147426605225,14,7.9635,0.08286666666666666,1.7640127616794345
293,0.9945,0.9791,11,0.5139453411102295,13,7.053850000000001,0.09040909090909091,1.9350306743741892
294,0.9929,0.9698,11,0.5271656513214111,14,7.02845,0.09026363636363637,1.883468692452104
295,0.9992,0.987,11,0.5112264156341553,14,7.0145,0.09083636363636363,1.954515591219076
296,0.9916,0.9801,11,0.5204157829284668,14,7.015499999999999,0.09014545454545454,1.9053995526809366
